School,CountyReport,Number_of_Total_Cases,ReportDate,Time
Bel Air Elementary School,Harford,10,8/4/2021,15:00:00+00
Gilpin Manor Elementary School,Cecil,2,8/4/2021,15:00:00+00
Harmony Hills Elementary School,Montgomery,2,8/4/2021,15:00:00+00
Hope Academy,Baltimore City,2,8/4/2021,15:00:00+00
Ivymount School,Montgomery,3,8/4/2021,15:00:00+00
Oakdale Elementary School,Frederick,2,8/4/2021,15:00:00+00
Pemberton Elementary School,Wicomico,7,8/4/2021,15:00:00+00
Potomac Glen Day School,Montgomery,4,8/4/2021,15:00:00+00
Bel Air Elementary School,Harford,11,8/11/2021,15:00:00+00
Digital Harbor High School,Baltimore City,2,8/11/2021,15:00:00+00
Harmony Hills Elementary School,Montgomery,2,8/11/2021,15:00:00+00
Hope Academy,Baltimore City,2,8/11/2021,15:00:00+00
Ivymount School,Montgomery,3,8/11/2021,15:00:00+00
Oakdale Elementary School,Frederick,2,8/11/2021,15:00:00+00
Pemberton Elementary School,Wicomico,8,8/11/2021,15:00:00+00
Potomac Glen Day School,Montgomery,6,8/11/2021,15:00:00+00
Century High School,Carroll,2,8/18/2021,15:00:00+00
Maryland School for the Blind,Baltimore City,2,8/18/2021,15:00:00+00
Potomac Glen Day School,Montgomery,6,8/18/2021,15:00:00+00
Winfield Elementary School,Carroll,3,8/18/2021,15:00:00+00
Butterfly Ridge Elementary School,Frederick,2,8/25/2021,15:00:00+00
Century High School,Carroll,2,8/25/2021,15:00:00+00
Gerstell Academy,Carroll,2,8/25/2021,15:00:00+00
Hillcrest Elementary School,Frederick,2,8/25/2021,15:00:00+00
Lewistown Elementary School,Frederick,3,8/25/2021,15:00:00+00
Maryland School for the Blind,Baltimore City,2,8/25/2021,15:00:00+00
Orchard Grove Elementary School,Frederick,2,8/25/2021,15:00:00+00
Parkside High School,Wicomico,2,8/25/2021,15:00:00+00
Quince Orchard High School,Montgomery,24,8/25/2021,15:00:00+00
Reginald F. Lewis High School,Baltimore City,2,8/25/2021,15:00:00+00
South Carroll High School,Carroll,2,8/25/2021,15:00:00+00
Stephen Decatur High School,Worcester,2,8/25/2021,15:00:00+00
Success Program,Frederick,2,8/25/2021,15:00:00+00
Tuscarora Elementary School,Frederick,2,8/25/2021,15:00:00+00
Tuscarora High School,Frederick,4,8/25/2021,15:00:00+00
Wicomico Day School,Wicomico,2,8/25/2021,15:00:00+00
Wicomico High School,Wicomico,2,8/25/2021,15:00:00+00
