School,CountyReport,Number_of_Total_Cases,ReportDate,Column
Greensboro Elementary School,Caroline,10,10/29/2020,14:00:00+00
Archbishop Neale School,Charles,4,10/29/2020,14:00:00+00
Brunswick Middle School,Frederick,3,10/29/2020,14:00:00+00
Annapolis Area Christian School - Upper School,Anne Arundel,2,10/29/2020,14:00:00+00
Beth Tfiloh Dahan Community School,Baltimore,5,10/29/2020,14:00:00+00
Worcester Preparatory School,Worcester,3,10/29/2020,14:00:00+00
Garrison Forrest Elementary,Baltimore,3,10/29/2020,14:00:00+00
Route 40 Elementary School,Garrett,2,10/29/2020,14:00:00+00
Eastern Elementary School,Washington,2,10/29/2020,14:00:00+00
Clear Springs High School,Washington,2,10/29/2020,14:00:00+00
Greensboro Elementary School,Caroline,12,11/5/2020,15:00:00+00
Archbishop Neale School,Charles,12,11/5/2020,15:00:00+00
Worcester Preparatory School,Worcester,3,11/5/2020,15:00:00+00
Route 40 Elementary School,Garrett,2,11/5/2020,15:00:00+00
Clear Springs High School,Washington,2,11/5/2020,15:00:00+00
Gerstell Academy,Carroll,3,11/5/2020,15:00:00+00
Greenwood Elementary School,Somerset,2,11/5/2020,15:00:00+00
Glenelg Country School,Howard,4,11/5/2020,15:00:00+00
Emmanuel Lutheran School,Baltimore,5,11/5/2020,15:00:00+00
Manor Woods Elementary,Howard,2,11/5/2020,15:00:00+00
Cedar Ridge School,Washington,2,11/5/2020,15:00:00+00
Carter G.  Woodson Elementary School,Somerset,3,11/5/2020,15:00:00+00
St. Andrew's Episcopal School,Montgomery,2,11/5/2020,15:00:00+00
Route 40 Elementary School,Garrett,2,11/11/2020,15:00:00+00
Gerstell Academy,Carroll,3,11/11/2020,15:00:00+00
Greenwood Elementary School,Somerset,2,11/11/2020,15:00:00+00
Glenelg Country School,Howard,8,11/11/2020,15:00:00+00
Emmanuel Lutheran School,Baltimore,5,11/11/2020,15:00:00+00
Manor Woods Elementary,Howard,2,11/11/2020,15:00:00+00
Cedar Ridge School,Washington,4,11/11/2020,15:00:00+00
Woodson Elementary School,Somerset,3,11/11/2020,15:00:00+00
St. Andrew's Episcopal School,Montgomery,2,11/11/2020,15:00:00+00
St. Elizabeth School,Montgomery,2,11/11/2020,15:00:00+00
Grace Academy,Washington,14,11/11/2020,15:00:00+00
Robert Moton Elementary,Carroll,2,11/11/2020,15:00:00+00
Seaside Christian Academy,Worcester,2,11/11/2020,15:00:00+00
McDonogh School,Baltimore,2,11/11/2020,15:00:00+00
St. Mark School,Baltimore,7,11/11/2020,15:00:00+00
Pangborn Elementary,Washington,4,11/11/2020,15:00:00+00
St. Agnes Catholic School,Baltimore,2,11/11/2020,15:00:00+00
North Point High School,Charles,2,11/11/2020,15:00:00+00
Joppatowne Elementary School,Harford,6,11/11/2020,15:00:00+00
Monsignor Slade Catholic School,Anne Arundel,3,11/11/2020,15:00:00+00
Windy Hill Elementary School,Calvert,2,11/11/2020,15:00:00+00
Truth Christian Academy,Washington,2,11/11/2020,15:00:00+00
Hagerstown High School,Washington,3,11/11/2020,15:00:00+00
Living Hope Christian School,Somerset,2,11/11/2020,15:00:00+00
Stephen Decatur High School,Worcester,2,11/11/2020,15:00:00+00
Mount Saint Joseph High School,Baltimore City,2,11/11/2020,15:00:00+00
Gerstell Academy,Carroll,3,11/18/2020,15:00:00+00
Glenelg Country School,Howard,7,11/18/2020,15:00:00+00
Manor Woods Elementary,Howard,2,11/18/2020,15:00:00+00
Cedar Ridge School,Washington,4,11/18/2020,15:00:00+00
Woodson Elementary School,Somerset,5,11/18/2020,15:00:00+00
St. Andrew's Episcopal School,Montgomery,2,11/18/2020,15:00:00+00
St. Elizabeth School,Montgomery,2,11/18/2020,15:00:00+00
Grace Academy,Washington,16,11/18/2020,15:00:00+00
Robert Moton Elementary,Carroll,2,11/18/2020,15:00:00+00
Seaside Christian Academy,Worcester,2,11/18/2020,15:00:00+00
McDonogh School,Baltimore,4,11/18/2020,15:00:00+00
St. Mark School,Baltimore,8,11/18/2020,15:00:00+00
Pangborn Elementary,Washington,4,11/18/2020,15:00:00+00
St. Agnes Catholic School,Baltimore,2,11/18/2020,15:00:00+00
North Point High School,Charles,2,11/18/2020,15:00:00+00
Joppatowne Elementary School,Harford,6,11/18/2020,15:00:00+00
Monsignor Slade Catholic School,Anne Arundel,4,11/18/2020,15:00:00+00
Windy Hill Elementary School,Calvert,2,11/18/2020,15:00:00+00
Truth Christian Academy,Washington,3,11/18/2020,15:00:00+00
South Hagerstown High School,Washington,3,11/18/2020,15:00:00+00
Stephen Decatur High School,Worcester,2,11/18/2020,15:00:00+00
Mount Saint Joseph High School,Baltimore City,2,11/18/2020,15:00:00+00
Bullis School,Montgomery,8,11/18/2020,15:00:00+00
James M. Bennett High School,Wicomico,2,11/18/2020,15:00:00+00
Bais Yaakov School for Girls,Baltimore,2,11/18/2020,15:00:00+00
DeMatha Catholic High School,Prince George's,3,11/18/2020,15:00:00+00
St. Joseph's School,Baltimore,2,11/18/2020,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,4,11/18/2020,15:00:00+00
Delmar Elementary School,Wicomico,4,11/18/2020,15:00:00+00
The Heights School,Montgomery,4,11/18/2020,15:00:00+00
Yough Glades Elementary School,Garrett,3,11/18/2020,15:00:00+00
Broadfording Christian Academy,Washington,4,11/18/2020,15:00:00+00
Open Bible Christian Academy,Baltimore,3,11/18/2020,15:00:00+00
The Harbour School at Baltimore,Baltimore,2,11/18/2020,15:00:00+00
Gerstell Academy,Carroll,3,11/18/2020,15:00:00+00
Glenelg Country School,Howard,7,11/18/2020,15:00:00+00
Manor Woods Elementary,Howard,2,11/18/2020,15:00:00+00
Cedar Ridge School,Washington,4,11/18/2020,15:00:00+00
Woodson Elementary School,Somerset,5,11/18/2020,15:00:00+00
St. Andrew's Episcopal School,Montgomery,2,11/18/2020,15:00:00+00
St. Elizabeth School,Montgomery,2,11/18/2020,15:00:00+00
Grace Academy,Washington,16,11/18/2020,15:00:00+00
Robert Moton Elementary,Carroll,2,11/18/2020,15:00:00+00
Seaside Christian Academy,Worcester,2,11/18/2020,15:00:00+00
McDonogh School,Baltimore,4,11/18/2020,15:00:00+00
St. Mark School,Baltimore,8,11/18/2020,15:00:00+00
Pangborn Elementary,Washington,4,11/18/2020,15:00:00+00
St. Agnes Catholic School,Baltimore,2,11/18/2020,15:00:00+00
North Point High School,Charles,2,11/18/2020,15:00:00+00
Joppatowne Elementary School,Harford,6,11/18/2020,15:00:00+00
Monsignor Slade Catholic School,Anne Arundel,4,11/18/2020,15:00:00+00
Windy Hill Elementary School,Calvert,2,11/18/2020,15:00:00+00
Truth Christian Academy,Washington,3,11/18/2020,15:00:00+00
South Hagerstown High School,Washington,3,11/18/2020,15:00:00+00
Stephen Decatur High School,Worcester,2,11/18/2020,15:00:00+00
Mount Saint Joseph High School,Baltimore City,2,11/18/2020,15:00:00+00
Bullis School,Montgomery,8,11/18/2020,15:00:00+00
James M. Bennett High School,Wicomico,2,11/18/2020,15:00:00+00
Bais Yaakov School for Girls,Baltimore,2,11/18/2020,15:00:00+00
DeMatha Catholic High School,Prince George's,3,11/18/2020,15:00:00+00
St. Joseph's School,Baltimore,2,11/18/2020,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,4,11/18/2020,15:00:00+00
Delmar Elementary School,Wicomico,4,11/18/2020,15:00:00+00
The Heights School,Montgomery,4,11/18/2020,15:00:00+00
Yough Glades Elementary School,Garrett,3,11/18/2020,15:00:00+00
Broadfording Christian Academy,Washington,4,11/18/2020,15:00:00+00
Open Bible Christian Academy,Baltimore,3,11/18/2020,15:00:00+00
The Harbour School at Baltimore,Baltimore,2,11/18/2020,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,3,11/25/2020,15:00:00+00
Broadfording Christian Academy,Washington,5,11/25/2020,15:00:00+00
Bullis School,Montgomery,10,11/25/2020,15:00:00+00
Delmar Elementary School,Wicomico,4,11/25/2020,15:00:00+00
Frederick Christian Academy,Frederick,6,11/25/2020,15:00:00+00
Glenelg Country School,Howard,10,11/25/2020,15:00:00+00
Grace Academy,Washington,17,11/25/2020,15:00:00+00
Immaculate Heart of Mary School,Baltimore,2,11/25/2020,15:00:00+00
James M. Bennett High School,Wicomico,2,11/25/2020,15:00:00+00
John Archer School,Harford,3,11/25/2020,15:00:00+00
McDonogh School,Baltimore,5,11/25/2020,15:00:00+00
Mesivta Kesser Torah of Baltimore,Baltimore,2,11/25/2020,15:00:00+00
Mount Saint Joseph High School,Baltimore City,6,11/25/2020,15:00:00+00
Open Bible Christian Academy,Baltimore,5,11/25/2020,15:00:00+00
Roland Park Country School,Baltimore City,4,11/25/2020,15:00:00+00
Rosedale Baptist School,Baltimore,2,11/25/2020,15:00:00+00
Running Brook Elementary School,Howard,2,11/25/2020,15:00:00+00
Severn School,Anne Arundel,2,11/25/2020,15:00:00+00
St. Jerome's School,Prince George's,2,11/25/2020,15:00:00+00
St. Joseph's School,Baltimore,4,11/25/2020,15:00:00+00
St. Mark School,Baltimore,7,11/25/2020,15:00:00+00
Stephen Decatur High School,Worcester,2,11/25/2020,15:00:00+00
The Harbour School at Baltimore,Baltimore,2,11/25/2020,15:00:00+00
The Heights School,Montgomery,4,11/25/2020,15:00:00+00
Torah School of Greater Washington,Montgomery,3,11/25/2020,15:00:00+00
Truth Christian Academy,Washington,3,11/25/2020,15:00:00+00
Woodson Elementary School,Somerset,6,11/25/2020,15:00:00+00
Yough Glades Elementary School,Garrett,3,11/25/2020,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,4,12/2/2020,15:00:00+00
Broadfording Christian Academy,Washington,5,12/2/2020,15:00:00+00
Bullis School,Montgomery,10,12/2/2020,15:00:00+00
Frederick Christian Academy,Frederick,6,12/2/2020,15:00:00+00
Glenelg Country School,Howard,11,12/2/2020,15:00:00+00
Grace Academy,Washington,19,12/2/2020,15:00:00+00
Heritage Academy,Washington,2,12/2/2020,15:00:00+00
John Archer School,Harford,3,12/2/2020,15:00:00+00
McDonogh School,Baltimore,5,12/2/2020,15:00:00+00
Mesivta Kesser Torah of Baltimore,Baltimore,2,12/2/2020,15:00:00+00
Mount Saint Joseph High School,Baltimore City,6,12/2/2020,15:00:00+00
