OBJECTID,School,CountyReport,Number_of_Total_Cases,ReportDate,Time
1479,Butterfly Ridge Elementary School,Frederick,2,8/25/2021,15:00:00+00
1480,Century High School,Carroll,2,8/25/2021,15:00:00+00
1481,Gerstell Academy,Carroll,2,8/25/2021,15:00:00+00
1482,Hillcrest Elementary School,Frederick,2,8/25/2021,15:00:00+00
1483,Lewistown Elementary School,Frederick,3,8/25/2021,15:00:00+00
1484,Maryland School for the Blind,Baltimore City,2,8/25/2021,15:00:00+00
1485,Orchard Grove Elementary School,Frederick,2,8/25/2021,15:00:00+00
1486,Parkside High School,Wicomico,2,8/25/2021,15:00:00+00
1487,Quince Orchard High School,Montgomery,24,8/25/2021,15:00:00+00
1488,Reginald F. Lewis High School,Baltimore City,2,8/25/2021,15:00:00+00
1489,South Carroll High School,Carroll,2,8/25/2021,15:00:00+00
1490,Steven Decatur High School,Worcester,2,8/25/2021,15:00:00+00
1491,Success Program,Frederick,2,8/25/2021,15:00:00+00
1492,Tuscarora Elementary School,Frederick,2,8/25/2021,15:00:00+00
1493,Tuscarora High School,Frederick,4,8/25/2021,15:00:00+00
1494,Wicomico Day School,Wicomico,2,8/25/2021,15:00:00+00
1495,Wicomico High School,Wicomico,2,8/25/2021,15:00:00+00
1496,Winfield Elementary School,Carroll,3,8/25/2021,15:00:00+00
1497,Atholton Adventist Academy,Howard,2,9/1/2021,15:00:00+00
1498,Bullis School - Football Team,Montgomery,3,9/1/2021,15:00:00+00
1499,Butterfly Ridge Elementary School,Frederick,2,9/1/2021,15:00:00+00
1500,Carroll Manor Elementary School,Frederick,3,9/1/2021,15:00:00+00
1501,Century High School,Carroll,5,9/1/2021,15:00:00+00
1502,Chopticon High School,St. Mary's,6,9/1/2021,15:00:00+00
1503,Damascus High School,Montgomery,2,9/1/2021,15:00:00+00
1504,Dr. Henry A. Wise Jr. High School,Prince George's,4,9/1/2021,15:00:00+00
1505,Frederick Christian Academy,Frederick,4,9/1/2021,15:00:00+00
1506,Friends School,Baltimore City,2,9/1/2021,15:00:00+00
1507,Gerstell Academy,Carroll,2,9/1/2021,15:00:00+00
1508,Hancock Middle-Senior High School,Washington,3,9/1/2021,15:00:00+00
1509,Hillcrest Elementary School,Frederick,2,9/1/2021,15:00:00+00
1510,John L Gildner - RICA,Montgomery,2,9/1/2021,15:00:00+00
